         76918 function calls (75278 primitive calls) in 0.473 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:426(__init__)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:430(__enter__)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:435(__exit__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:441(_setdef)
        2    0.000    0.000    0.015    0.008 _version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _version.py:14(NumpyVersion)
        1    0.000    0.000    0.000    0.000 _version.py:20(get_versions)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:86(add)
       16    0.000    0.000    0.001    0.000 abc.py:105(__new__)
       11    0.000    0.000    0.000    0.000 abc.py:110(register)
        1    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
    22/12    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
       59    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
        1    0.000    0.000    0.002    0.002 arrayprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1222(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1235(BoolFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1245(ComplexFloatingFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1278(_TimelikeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1304(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1336(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1341(SubArrayFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1351(StructuredVoidFormat)
       18    0.001    0.000    0.001    0.000 arrayprint.py:1564(_guarded_repr_or_str)
       18    0.000    0.000    0.001    0.000 arrayprint.py:1571(_array_str_implementation)
        2    0.000    0.000    0.000    0.000 arrayprint.py:493(_recursive_guard)
        2    0.000    0.000    0.000    0.000 arrayprint.py:503(decorating_function)
       18    0.000    0.000    0.001    0.000 arrayprint.py:506(wrapper)
        1    0.000    0.000    0.000    0.000 arrayprint.py:905(FloatingFormat)
        1    0.000    0.000    0.002    0.002 arraysetops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:16(Arrayterator)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1995(Chebyshev)
        2    0.000    0.000    0.000    0.000 contextlib.py:252(contextmanager)
        1    0.000    0.000    0.000    0.000 contextlib.py:63(_recreate_cm)
        1    0.000    0.000    0.000    0.000 contextlib.py:75(__call__)
        1    0.000    0.000    0.000    0.000 contextlib.py:76(inner)
        1    0.000    0.000    0.001    0.001 contextvars.py:1(<module>)
        2    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 copyreg.py:22(constructor)
        1    0.001    0.001    0.015    0.015 core.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:1125(_DomainedBinaryOperation)
        6    0.000    0.000    0.000    0.000 core.py:1146(__init__)
       14    0.000    0.000    0.017    0.001 core.py:115(doc_note)
        1    0.000    0.000    0.000    0.000 core.py:1283(_replace_dtype_fields_recursive)
       50    0.000    0.000    0.004    0.000 core.py:131(get_object_signature)
        1    0.000    0.000    0.000    0.000 core.py:1315(_replace_dtype_fields)
        1    0.000    0.000    0.000    0.000 core.py:1329(make_mask_descr)
        3    0.000    0.000    0.000    0.000 core.py:1362(getmask)
        1    0.000    0.000    0.000    0.000 core.py:148(MAError)
        1    0.000    0.000    0.000    0.000 core.py:156(MaskError)
        1    0.000    0.000    0.000    0.000 core.py:190(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:191(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:194(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:195(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:2372(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:2378(__init__)
        7    0.000    0.000    0.000    0.000 core.py:2544(_arraymethod)
        1    0.000    0.000    0.000    0.000 core.py:2589(MaskedIterator)
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
        1    0.000    0.000    0.000    0.000 core.py:2808(__new__)
        2    0.000    0.000    0.000    0.000 core.py:2940(_update_from)
        2    0.000    0.000    0.000    0.000 core.py:2966(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:3115(view)
        4    0.000    0.000    0.000    0.000 core.py:3401(dtype)
        2    0.000    0.000    0.000    0.000 core.py:3417(shape)
        1    0.000    0.000    0.000    0.000 core.py:6310(mvoid)
        1    0.000    0.000    0.000    0.000 core.py:6505(MaskedConstant)
        4    0.000    0.000    0.000    0.000 core.py:6509(__has_singleton)
        1    0.000    0.000    0.001    0.001 core.py:6515(__new__)
        1    0.000    0.000    0.000    0.000 core.py:6533(__array_finalize__)
        2    0.000    0.000    0.000    0.000 core.py:6608(__setattr__)
        1    0.000    0.000    0.000    0.000 core.py:6700(_extrema_operation)
        2    0.000    0.000    0.000    0.000 core.py:6709(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6809(_frommethod)
       26    0.000    0.000    0.003    0.000 core.py:6820(__init__)
       26    0.000    0.000    0.003    0.000 core.py:6825(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:797(_DomainCheckInterval)
        3    0.000    0.000    0.000    0.000 core.py:806(__init__)
        1    0.000    0.000    0.000    0.000 core.py:8197(_convert2ma)
       14    0.000    0.000    0.001    0.000 core.py:8210(__init__)
       14    0.000    0.000    0.001    0.000 core.py:8215(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:822(_DomainTan)
       14    0.000    0.000    0.000    0.000 core.py:8227(_replace_return_type)
        1    0.000    0.000    0.000    0.000 core.py:830(__init__)
        1    0.000    0.000    0.000    0.000 core.py:84(MaskedArrayFutureWarning)
        1    0.000    0.000    0.000    0.000 core.py:840(_DomainSafeDivide)
        6    0.000    0.000    0.000    0.000 core.py:846(__init__)
        1    0.000    0.000    0.000    0.000 core.py:861(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:867(__init__)
        1    0.000    0.000    0.000    0.000 core.py:877(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:883(__init__)
        1    0.000    0.000    0.000    0.000 core.py:893(_MaskedUFunc)
       52    0.001    0.000    0.002    0.000 core.py:894(__init__)
        1    0.000    0.000    0.000    0.000 core.py:903(_MaskedUnaryOperation)
       26    0.000    0.000    0.001    0.000 core.py:921(__init__)
        1    0.000    0.000    0.000    0.000 core.py:977(_MaskedBinaryOperation)
       18    0.000    0.000    0.001    0.000 core.py:997(__init__)
        1    0.000    0.000    0.002    0.002 ctypeslib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:183(_ndptr)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:204(_concrete_ndptr)
        1    0.000    0.000    0.002    0.002 ctypeslib.py:362(_get_scalar_type_map)
        1    0.000    0.000    0.002    0.002 ctypeslib.py:373(<dictcomp>)
        1    0.000    0.000    0.004    0.004 datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1114(tzinfo)
        1    0.000    0.000    0.000    0.000 datetime.py:1183(IsoCalendarDate)
        1    0.000    0.000    0.000    0.000 datetime.py:1214(time)
        2    0.000    0.000    0.000    0.000 datetime.py:1239(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1563(datetime)
        3    0.000    0.000    0.000    0.000 datetime.py:1571(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:2185(timezone)
        3    0.000    0.000    0.000    0.000 datetime.py:2205(_create)
        5    0.000    0.000    0.000    0.000 datetime.py:384(_check_date_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:397(_check_time_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:414(_check_tzinfo_arg)
